Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills*,11,6,0,.647,483,289,194,11.4,-1.6,9.8,5.0,4.8
New England Patriots+,10,7,0,.588,462,303,159,9.4,-0.9,8.5,3.6,4.8
Miami Dolphins,9,8,0,.529,341,373,-32,-1.9,-0.8,-2.7,-3.1,0.3
New York Jets,4,13,0,.235,310,504,-194,-11.4,1.0,-10.4,-3.6,-6.7
Cincinnati Bengals*,10,7,0,.588,460,376,84,4.9,-1.9,3.1,3.4,-0.3
Pittsburgh Steelers+,9,7,1,.559,343,398,-55,-3.2,0.8,-2.5,-2.6,0.1
Cleveland Browns,8,9,0,.471,349,371,-22,-1.3,0.0,-1.3,-2.7,1.3
Baltimore Ravens,8,9,0,.471,387,392,-5,-0.3,0.0,-0.3,-0.3,0.0
Tennessee Titans*,12,5,0,.706,419,354,65,3.8,-0.4,3.4,1.8,1.6
Indianapolis Colts,9,8,0,.529,451,365,86,5.1,-0.6,4.4,3.3,1.1
Houston Texans,4,13,0,.235,280,452,-172,-10.1,0.4,-9.7,-6.3,-3.4
Jacksonville Jaguars,3,14,0,.176,253,457,-204,-12.0,0.6,-11.4,-7.7,-3.7
Kansas City Chiefs*,12,5,0,.706,480,364,116,6.8,0.6,7.4,5.4,2.0
Las Vegas Raiders+,10,7,0,.588,374,439,-65,-3.8,0.6,-3.3,-0.7,-2.6
Los Angeles Chargers,9,8,0,.529,474,459,15,0.9,0.2,1.1,5.3,-4.2
Denver Broncos,7,10,0,.412,335,322,13,0.8,-1.3,-0.5,-4.7,4.2
