Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills*,13,4,.765,525,368,157,9.2,-1.1,8.1,7.8,0.3
Miami Dolphins,8,9,.471,345,364,-19,-1.1,-1.9,-3.0,-3.5,0.4
New York Jets,5,12,.294,338,404,-66,-3.9,-0.5,-4.3,-3.0,-1.4
New England Patriots,4,13,.235,289,417,-128,-7.5,-0.6,-8.1,-6.2,-1.9
Baltimore Ravens*,12,5,.706,518,361,157,9.2,0.6,9.9,8.0,1.9
Pittsburgh Steelers+,10,7,.588,380,347,33,1.9,0.1,2.1,-0.7,2.8
Cincinnati Bengals,9,8,.529,472,434,38,2.2,-0.8,1.4,5.0,-3.6
Cleveland Browns,3,14,.176,258,435,-177,-10.4,1.2,-9.2,-7.1,-2.1
Houston Texans*,10,7,.588,372,372,0,0.0,-0.7,-0.7,-1.5,0.8
Indianapolis Colts,8,9,.471,377,427,-50,-2.9,-0.7,-3.7,-0.5,-3.2
Jacksonville Jaguars,4,13,.235,320,435,-115,-6.8,-0.8,-7.5,-4.2,-3.4
Tennessee Titans,3,14,.176,311,460,-149,-8.8,0.4,-8.4,-4.7,-3.7
Kansas City Chiefs*,15,2,.882,385,326,59,3.5,0.7,4.2,-0.2,4.4
Los Angeles Chargers+,11,6,.647,402,301,101,5.9,-0.6,5.3,0.6,4.7
Denver Broncos+,10,7,.588,425,311,114,6.7,-0.3,6.4,2.1,4.3
Las Vegas Raiders,4,13,.235,309,434,-125,-7.4,1.0,-6.4,-3.9,-2.5
