Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,14,3,0,.824,477,344,133,7.8,-1.3,6.5,5.8,0.7
Dallas Cowboys+,12,5,0,.706,467,342,125,7.4,-0.8,6.5,5.3,1.3
New York Giants+,9,7,1,.559,365,371,-6,-0.4,0.0,-0.4,-0.8,0.4
Washington Commanders,8,8,1,.500,321,343,-22,-1.3,0.4,-0.9,-3.5,2.6
Minnesota Vikings*,13,4,0,.765,424,427,-3,-0.2,0.1,-0.1,2.8,-2.9
Detroit Lions,9,8,0,.529,453,427,26,1.5,0.7,2.2,4.7,-2.4
Green Bay Packers,8,9,0,.471,370,371,-1,-0.1,0.4,0.3,-0.3,0.6
Chicago Bears,3,14,0,.176,326,463,-137,-8.1,1.6,-6.4,-2.5,-4.0
Tampa Bay Buccaneers*,8,9,0,.471,313,358,-45,-2.6,0.4,-2.3,-3.3,1.1
Carolina Panthers,7,10,0,.412,347,374,-27,-1.6,-0.6,-2.2,-1.3,-0.9
New Orleans Saints,7,10,0,.412,330,345,-15,-0.9,-0.3,-1.2,-2.8,1.7
Atlanta Falcons,7,10,0,.412,365,386,-21,-1.2,-0.9,-2.1,-0.1,-2.0
San Francisco 49ers*,13,4,0,.765,450,277,173,10.2,-2.3,7.9,3.3,4.6
Seattle Seahawks+,9,8,0,.529,407,401,6,0.4,-0.8,-0.5,1.9,-2.4
Los Angeles Rams,5,12,0,.294,307,384,-77,-4.5,0.5,-4.0,-4.1,0.0
Arizona Cardinals,4,13,0,.235,340,449,-109,-6.4,0.2,-6.2,-1.9,-4.3
