Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,14,3,.824,463,303,160,9.4,-1.7,7.7,3.0,4.7
Washington Commanders+,12,5,.706,485,391,94,5.5,-1.8,3.7,4.9,-1.2
Dallas Cowboys,7,10,.412,350,468,-118,-6.9,0.6,-6.3,-2.6,-3.7
New York Giants,3,14,.176,273,415,-142,-8.4,0.3,-8.0,-7.5,-0.5
Detroit Lions*,15,2,.882,564,342,222,13.1,0.7,13.8,10.6,3.2
Minnesota Vikings+,14,3,.824,432,332,100,5.9,0.3,6.2,2.8,3.4
Green Bay Packers+,11,6,.647,460,338,122,7.2,0.9,8.1,4.9,3.2
Chicago Bears,5,12,.294,310,370,-60,-3.5,1.2,-2.3,-4.8,2.4
Tampa Bay Buccaneers*,10,7,.588,502,385,117,6.9,-0.4,6.4,6.0,0.4
Atlanta Falcons,8,9,.471,389,423,-34,-2.0,-0.2,-2.2,0.0,-2.2
Carolina Panthers,5,12,.294,341,534,-193,-11.4,0.4,-11.0,-2.6,-8.4
New Orleans Saints,5,12,.294,338,398,-60,-3.5,-0.6,-4.1,-3.6,-0.5
Los Angeles Rams*,10,7,.588,367,386,-19,-1.1,1.1,-0.1,-0.6,0.6
Seattle Seahawks,10,7,.588,375,368,7,0.4,0.8,1.3,-0.3,1.5
Arizona Cardinals,8,9,.471,400,379,21,1.2,0.9,2.1,0.8,1.2
San Francisco 49ers,6,11,.353,389,436,-47,-2.8,1.6,-1.2,0.9,-2.1
